universidad,tipo_gestion,es_publico,es_licenciada,es_universidad,doc_total,mat_total,egr_total,n_renacyt,score_mat,score_egr,score_concytec,pct_doctorado,pct_maestria,pct_renacyt_doc,pct_exclusiva,pct_tc,pct_contratado,pct_ordinario,edad_media_doc,pct_fem_doc,pct_fem_mat,pct_discap,pct_posgrado,edad_media_mat,n_departamentos,nota_prom_egr,creditos_prom_egr,pct_posgrado_egr,puntaje_medio,nivel_medio,pct_prod_rec,antiguedad_med,n_areas_ocde,pct_fem_renacyt,ratio_mat_doc,ratio_egr_mat
Universidad Nacional de Cañete,Público,1,1,1,88,2144,292.0,41,100,100,100,4.55,19.32,46.591,5.68,51.14,30.68,56.82,51.07,31.82,44.68,0.93,9.28,23.49,1,16.433,169.2,31.85,42.488,2.756,63.415,3.103,6,31.707,24.4,13.62
Universidad Nacional Tecnológica de Lima Sur,Público,1,1,1,142,2317,201.0,46,100,100,95,0.0,0.0,32.394,0.7,62.68,22.54,77.46,51.43,19.72,25.12,0.47,3.5,23.35,1,14.165,217.0,0.0,55.543,3.043,45.652,4.222,6,15.217,16.3,8.68
Universidad Nacional Santiago Antúnez de Mayolo,Público,1,1,1,570,8242,10906.0,47,100,86,100,0.88,10.53,8.246,19.12,59.65,12.81,81.58,54.33,29.82,42.83,0.41,8.15,23.53,1,16.104,129.4,37.02,37.489,2.489,57.447,3.178,6,31.915,14.5,132.32
Universidad de Ingeniería y Tecnología,Privado,0,1,1,226,4666,298.0,62,100,100,100,0.0,12.83,27.434,0.0,11.95,88.05,6.64,42.62,17.26,28.08,0.19,5.53,22.06,1,14.98,198.4,3.69,56.774,3.113,33.871,4.236,6,22.581,20.6,6.39
Universidad Peruana de Ciencias Aplicadas S.A.C.,Privado,0,1,1,1156,81014,2311.0,117,100,100,100,0.0,7.79,10.121,0.0,17.3,92.65,2.25,45.68,37.54,47.58,0.21,4.02,23.39,1,16.041,163.4,24.58,49.299,2.521,39.316,2.878,6,36.752,70.1,2.85
Universidad Privada Norbert Wiener S.A.,Privado,0,1,1,1147,24075,2964.0,70,100,100,100,0.0,3.4,6.103,0.0,24.5,87.97,7.5,48.47,46.12,70.63,0.25,4.06,27.46,1,15.819,129.3,9.11,44.743,2.543,34.286,3.44,6,37.143,21.0,12.31
Facultad de Teología Pontificia y Civil de Lima,Privado,0,1,1,45,324,81.0,0,100,100,86,0.0,26.67,0.0,4.44,24.44,60.0,40.0,52.47,26.67,52.16,0.93,36.42,40.38,1,16.86,51.5,70.37,0.0,0.0,0.0,0.0,0,0.0,7.2,25.0
Universidad Nacional de Moquegua,Público,1,1,1,309,3267,307.0,64,100,100,100,0.0,4.53,20.712,2.27,24.6,69.58,29.13,48.58,31.72,44.02,1.01,4.07,22.49,1,13.448,218.7,0.0,46.023,2.844,62.5,3.847,6,20.312,10.6,9.4
Universidad Nacional Daniel Alcides Carrión,Público,1,1,1,214,7269,10906.0,72,100,86,100,0.0,8.88,33.645,17.29,18.69,64.02,35.98,50.31,31.78,51.33,1.02,6.01,22.7,2,16.104,129.4,37.02,24.319,1.597,58.333,2.104,6,33.333,34.0,150.03
Universidad Nacional de San Agustín de Arequipa,Público,1,1,1,1406,25898,334.0,137,100,100,100,0.0,0.0,9.744,29.59,39.4,2.99,88.19,57.55,33.93,47.72,0.47,0.0,22.38,1,14.338,230.0,0.0,42.54,2.657,44.526,4.239,6,33.577,18.4,1.29
Universidad Nacional de Jaén,Público,1,1,1,8,2179,170.0,41,100,100,100,0.0,100.0,512.5,12.5,62.5,0.0,25.0,50.38,12.5,37.63,1.33,1.01,22.29,1,13.45,203.5,6.47,41.378,2.61,70.732,2.835,6,24.39,272.4,7.8
Universidad Peruana Los Andes,Privado,0,1,1,330,18502,2438.0,94,100,100,100,0.91,3.64,28.485,8.79,23.33,76.06,18.18,49.33,40.0,58.53,0.33,2.03,24.18,1,14.745,206.1,11.65,28.431,1.894,79.787,1.623,6,30.851,56.1,13.18
Universidad Le Cordon Bleu S.A.C.,Privado,0,1,1,66,1056,109.0,8,100,100,100,0.0,9.09,12.121,0.0,24.24,56.06,33.33,51.23,30.3,42.8,0.19,0.66,21.97,1,15.76,200.2,0.0,44.062,3.0,50.0,4.315,5,12.5,16.0,10.32
Asociación Civil Universidad de Ciencias y Humanidades,Privado,0,1,1,47,6078,227.0,33,100,100,95,0.0,6.38,70.213,0.0,42.55,93.62,6.38,44.6,40.43,71.85,0.16,3.09,26.37,1,15.83,174.8,18.5,47.742,2.545,54.545,3.406,5,30.303,129.3,3.73
Universidad Privada de Tacna,Privado,0,1,1,640,8032,227.0,47,100,100,100,0.47,11.72,7.344,0.0,18.91,84.84,7.5,50.2,37.81,51.23,0.29,7.92,23.58,1,16.135,50.8,100.0,30.766,2.085,65.957,2.137,6,42.553,12.6,2.83
Universidad de San Martín de Porres,Privado,0,1,1,2143,30657,1071.0,82,100,86,100,2.01,9.61,3.826,0.05,21.51,92.11,2.99,51.53,34.25,58.51,0.21,8.83,24.11,3,14.873,128.0,53.22,54.366,2.793,39.024,4.146,6,24.39,14.3,3.49
Universidad Nacional de Piura,Público,1,1,1,289,12542,242.0,77,100,100,100,0.0,0.0,26.644,36.33,39.79,18.69,80.97,59.67,19.03,44.58,0.65,0.0,21.54,1,12.812,227.4,0.0,32.097,2.182,55.844,3.26,6,23.377,43.4,1.93
Universidad Nacional de San Martín,Público,1,1,1,389,6684,453.0,74,100,100,100,0.0,0.0,19.023,19.02,52.7,22.62,73.26,56.38,32.39,48.7,0.43,0.0,21.59,1,14.454,236.9,0.0,37.466,2.473,60.811,2.858,6,28.378,17.2,6.78
Universidad Nacional Autónoma de Chota,Público,1,1,1,46,946,84.0,31,94,94,100,0.0,0.0,67.391,0.0,86.96,8.7,91.3,48.35,23.91,47.04,1.69,0.0,22.44,1,14.433,216.6,0.0,36.677,2.355,51.613,3.196,6,22.581,20.6,8.88
Universidad Nacional José Faustino Sánchez Carrión,Público,1,1,1,348,12385,788.0,98,100,100,100,0.0,0.0,28.161,24.43,23.56,34.48,65.23,58.79,31.03,49.1,0.57,0.0,22.42,1,14.583,230.0,0.0,32.158,2.173,66.327,2.456,6,29.592,35.6,6.36
Universidad Nacional Intercultural de la Selva Central Juan Santos Atahualpa,Público,1,1,1,83,1334,10906.0,23,100,86,100,0.0,0.0,27.711,0.0,24.1,74.7,25.3,46.11,24.1,47.6,0.6,0.0,22.51,1,16.104,129.4,37.02,37.457,2.435,82.609,2.796,6,13.043,16.1,817.54
Universidad Nacional Autónoma de Huanta,Público,1,1,1,49,946,84.0,26,100,100,100,0.0,0.0,53.061,0.0,48.98,46.94,36.73,50.22,24.49,47.04,1.69,0.0,22.44,1,14.433,216.6,0.0,33.981,2.115,80.769,2.358,6,34.615,19.3,8.88
Universidad María Auxiliadora S.A.C.,Privado,0,1,1,100,4587,355.0,10,100,100,100,0.0,10.0,10.0,0.0,33.0,96.0,4.0,48.0,51.0,76.83,0.13,1.31,32.8,1,16.007,126.4,7.04,37.8,2.4,60.0,3.393,4,40.0,45.9,7.74
Universidad Peruana Unión,Privado,0,1,1,751,16604,2476.0,51,100,100,100,0.27,2.26,6.791,4.39,35.15,89.48,10.25,43.55,42.34,57.88,0.37,6.28,24.39,3,16.328,111.5,10.22,56.088,2.902,56.863,3.151,6,29.412,22.1,14.91
Universidad Nacional de Huancavelica,Público,1,1,1,192,7574,63.0,135,100,87,100,0.0,0.0,70.312,53.12,21.88,25.0,75.0,52.65,26.04,49.49,0.87,21.14,27.7,1,12.787,219.1,0.0,30.07,2.089,49.63,2.431,6,25.926,39.4,0.83
Universidad Andina Néstor Cáceres Velásquez,Privado,0,1,1,50,431,10906.0,13,100,86,100,0.0,0.0,26.0,24.0,54.0,0.0,100.0,58.98,14.0,42.69,0.0,0.0,31.62,1,16.104,129.4,37.02,27.269,1.846,38.462,2.142,4,15.385,8.6,2530.39
