universidad,pct_doctorado,pct_maestria,pct_renacyt_doc,pct_exclusiva,pct_tc,pct_contratado,pct_ordinario,edad_media_doc,pct_fem_doc,pct_fem_mat,pct_discap,pct_posgrado,edad_media_mat,n_departamentos,nota_prom_egr,creditos_prom_egr,pct_posgrado_egr,puntaje_medio,nivel_medio,pct_prod_rec,antiguedad_med,n_areas_ocde,pct_fem_renacyt,ratio_mat_doc,ratio_egr_mat
Universidad Peruana de Ciencias Aplicadas S.A.C.,-0.4643282816197503,-0.13462836027226088,-0.06382569801631126,-0.48509407660526555,-0.592169040825282,1.104622526554516,-0.9730367616163319,-1.0179933757297115,0.4088975542344988,-0.15370796806896678,-0.69870238313675,-0.24824395804940488,-0.46899732051664855,-0.2678562584008606,1.0379038164900969,-0.6486172664983432,0.5252697551872567,-0.11310577113387378,0.35038663812480875,-0.061820700632525344,-0.16470225236289618,0.7767589637465749,0.9065951083167388,-0.023189541911808505,-0.2385378309688308
Universidad Privada Norbert Wiener S.A.,-0.4643282816197503,-0.3472867583893188,-0.08894279553209981,-0.48509407660526555,-0.24562741845123462,0.959090149893658,-0.80322303079748,-0.5107687878153901,1.1062408202771599,1.6167927524144796,-0.6386185299940457,-0.24610564627102272,0.3487494030792378,-0.2678562584008606,0.8348374862147612,-1.4123391562028367,-0.22184788306262204,1.111812243072502,1.7422521600175573,-0.061820700632525344,0.4555498898575183,-0.49430115874782027,0.9065951083167388,-0.1326815713232798,-0.22404549553740538
Facultad de Teología Pontificia y Civil de Lima,-0.4643282816197503,0.7799480762767262,0.05099531919872247,-0.18932207373031334,-0.2485152653043516,0.08931652271327581,0.24800482665255594,0.21643492245603846,-0.4745664669640707,0.198087836695206,0.3828069734319265,1.483788582440167,2.944643179211634,-0.2678562584008606,1.7870539268301868,-3.154789684619541,2.7366800108732265,-0.6074901568953928,-1.6838783554107464,-2.37177922823511,0.10085890801297778,-1.7653612812422155,1.8503973143948764,-0.1634552985305772,-0.20460493141216346
Universidad Nacional de Moquegua,-0.4643282816197503,-0.29254780853230844,0.41698731157164215,-0.3338773093696481,-0.2408143403627061,0.38722254160451863,-0.10359045982380996,-0.49077068578292593,-0.06412550035387983,-0.42715623552758114,0.5029746797173349,-0.2455710683264271,-0.6498258343339212,-0.2678562584008606,-1.3339475096538054,0.5899111939315246,-0.6618117928529514,0.5613636486163776,1.5281190028032887,2.2481378269700594,0.000759262363551476,-1.1298312199950178,-0.5091082008004685,-0.1558733657403735,-0.228503497239884
Universidad Nacional Daniel Alcides Carrión,-0.4643282816197503,-0.08182707235709158,-0.41187690644938185,0.6666847363920144,-0.5252672553947366,0.21432510266555088,0.11797602705412061,-0.17625508109053237,-0.059248974017916976,0.13433444849558526,0.5179956430030109,-0.14186294707489105,-0.6076325144432241,0.2421008489392393,1.095530748054718,-1.4100995025673397,1.1260547209163128,-0.3889282780151006,-0.9057606855335434,0.2960601980101288,-0.9090988133049989,2.04781908624097,-0.0903790530334069,-0.10369182830191263,-0.01306405414037476
Universidad Nacional de San Agustín de Arequipa,-0.4643282816197503,-0.5119880234458101,0.40263468441976297,1.4860531227347875,0.47152121673950226,-1.6835041596447362,1.8067331482069322,1.1399836345007524,0.11549321968741177,-0.14295438451722345,-0.3081573377091724,-0.4631442917768147,-0.6719270971338098,-0.2678562584008606,-0.5198527621535854,0.8429920547426913,-0.6618117928529514,0.09189668894134966,0.8143418120890589,0.7081654752350025,1.3681783182289942,1.4122890249937725,0.27739363759798025,-0.13847951992755322,-0.24092768755160288
Universidad Nacional de Jaén,-0.4643282816197503,4.332166831156876,-0.7455754877305734,0.34759737293007287,1.5833422551895708,-1.7764831780669508,-0.2371772614013068,-0.1635290161607823,-1.626239436640587,-0.9179805133535779,0.983645504858969,-0.4091519193726645,-0.690009948515537,-0.2678562584008606,-1.3321180832549293,0.24948384133597337,-0.34934565714017085,-0.1249981790387898,0.8857195311604816,0.7081654752350025,0.6264963166743454,-1.1298312199950178,-0.03720709776139966,0.42793545910531244,-0.2309546321965733
Universidad Peruana Los Andes,0.1737335684583965,-0.3356607867382723,-0.6379307840914793,0.10045455070798436,-0.3019404320870174,0.5887289092887832,-0.45777338410312973,-0.35441999010703307,0.6088351340089682,0.6873758882995253,-0.5184508237086372,-0.3546249690239187,-0.3102700694992654,-0.2678562584008606,-0.1475644899821361,0.30771483585889653,-0.09917957012437427,-0.3178250786399322,-0.5061459907322667,1.093158563168767,-0.9979518140930479,0.1412289024993773,0.43469400527767,-0.05440926516558849,-0.22271269090470558
Universidad Le Cordon Bleu S.A.C.,-0.4643282816197503,-0.07165434716242598,-0.20017565595916365,-0.48509407660526555,-0.2581414214814086,-0.03320432430462566,0.03226052483127158,-0.008998227728104767,-0.17953662363832945,-0.5208660350499159,-0.728744309708102,-0.42786214743350864,-0.7543045312061227,-0.2678562584008606,0.7808694074478917,0.17557527136457052,-0.6618117928529514,0.09391920729252587,1.2528049435277997,0.2681733747392723,1.4940265789693685,0.1412289024993773,-1.1158381904221288,-0.14383147248534406,-0.2270940946397877
Asociación Civil Universidad de Ciencias y Humanidades,-0.4643282816197503,-0.20293094372215878,0.7829793039445617,-0.48509407660526555,0.6231331765281479,1.1347862883837962,-0.8394499600388351,-1.2143383775029968,0.643783572750034,1.7105025519368138,-0.7738071995651302,-0.29795970689679074,0.12974598078943045,-0.2678562584008606,0.8448993314085834,-0.3932967520516794,0.23163851791775045,0.06648602934728115,0.18115236871353205,0.012694090580461111,0.38103175624252333,0.1412289024993773,-0.09809756266966639,0.10882528784703267,-0.23718970674265172
